Event Start	Event End	Event Name	Event Type	Hero	Avatar Frame	Castle Skin
2023-06-25	2023-07-03	Anniversary Celebration	1	Montag	Anniversary II Frame	Cream Cake Castle
2023-07-18	2023-07-25	Era of Great Voyage	1	Rogers	Great Voyage Frame	Intrepid Castle
2023-08-20	2023-08-29	Brave the Dragon's Den	1	Trist	Dragon Nest Frame	Floating Dragon Nest Castle
2023-09-17	2023-09-25	Ancient Egypt Treasure Hunt	1	Ptolemy	Pharaoh Frame	Pharaoh's Temple Castle
2023-10-15	2023-10-23	Great Mongolia Era	1	Ao Deng Ge Ri Le	Mongolian Warrior Frame	Yurt Castle
2023-10-29	2023-11-05	Night Visit to the Castle	2		Pumpkin Ghost Frame	
2023-11-11	2023-11-19	Forest Spirit Prayer Festival	1	Rila	Tree of Life Frame	Forest Spirit Outpost
2023-11-22	2023-11-27	Thanksgiving Turkey Party	2		Chicken Chef Frame	
2023-12-03	2023-12-11	Jungle Hunting Adventure	1	Johannes	Jungle Hunt Frame	Hunter's Post Castle
2023-12-11	2023-12-15	Season Challenge	3	Blackwell		
2023-12-19	2023-12-25	Christmas Season	2		Colorful Christmas Frame	
2023-12-31	2024-01-08	Gunpowder Lab	1	Lovelace	Inventor Frame	Robot Rabbit Assistant
2024-01-08	2024-01-12	Season Challenge	3	Ptolemy		
2024-01-16	2024-01-22	Titan Expedition	2		Titan Star Frame	
2024-01-28	2024-02-05	Welcoming Spring and Sending Off Snow	1	Trishy	Welcoming Spring Frame	Spring Palace Soiree Castle
2024-02-05	2024-02-09	Season Challenge	3	Ao Yue		
2024-02-13	2024-02-19	Spring Leisure Fun	2		Spring Festival Celebration Frame	
2024-02-25	2024-03-04	Rushing to the Aid of Winter Vista	1	Angelina	Winter Comrade	Winter Palace Castle
2024-03-04	2024-03-08	Season Challenge	3	Ao Deng Ge Ri Le		
2024-03-12	2024-03-18	Wave Party	2		Wave Cat Prints Avatar Frame	
2024-03-24	2024-04-01	Deepsea Adventure	1	Dylan	Ocean Ripple Dream	Ocean Ripple Castle
2024-04-01	2024-04-05	Season Challenge - Lilith	3	Lilith		
2024-04-09	2024-04-15	Bright Lantern Blessing	2		Blessing Moon Frame: 	
2024-04-21	2024-04-29	Academy	1	Sindra	Dream Broom Star Hat Frame	Starry Magic Castle
2024-04-29	2024-05-03	Season Challenge	3	Maya		
2024-05-07	2024-05-13	Parent-Child Garden	2		Garden Rest Frame	
2024-05-19	2024-05-27	Beach Party	1	Rebecca	Party Star Frame	Desert Sand City Castle
2024-05-27	2024-05-31	Season Challenge	3	Daria		
2024-06-04	2024-06-10	Candy Party	2		Sweet Treat Station Frame	
2024-06-16	2024-06-24	Mushroom Dense Forest	1	Mycelia	Mushroom Jungle Frame	Mushroom Treehouse Castle
2024-06-24	2024-06-28	Season Challenge	3	Judy		
2024-07-02	2024-07-08	TBA	2		TBA	
2024-07-14	2024-07-22	TBA	1	TBA	TBA	TBA
